name,value,year,lastValue,rank
Ucom,5990249,2017,0,19
Sargis Karolina,4893069,2014,0,18
ArsOil,6709551,2014,0,13
Gazprom Armenia,39982390,2018,39717692,3
Gazprom Armenia,39717692,2017,42381154,1
Gazprom Armenia,42381154,2016,42649961,1
Gazprom Armenia,42649961,2015,42812641,1
Gazprom Armenia,42812641,2014,0,1
Avers,7657646,2018,0,16
Avers,5043632,2016,0,19
Lidian Armenia,7847646,2017,0,16
Phillip Morris Armenia,13624348,2018,11644618,8
Phillip Morris Armenia,11644618,2017,9275848,10
Phillip Morris Armenia,9275848,2016,7424051,15
Phillip Morris Armenia,7424051,2015,8029934,13
Phillip Morris Armenia,8029934,2014,0,10
Adamium,6313347,2018,5934249,19
Adamium,5934249,2017,0,20
Alex Holding,16191390,2018,21470222,6
Alex Holding,21470222,2017,0,4
Norfolk Consulting,7847062,2018,7014595,15
Norfolk Consulting,7014595,2017,0,17
Electric Networks of Armenia (HEC),12069511,2018,22036115,11
Electric Networks of Armenia (HEC),22036115,2017,17264389,3
Electric Networks of Armenia (HEC),17264389,2016,16494203,3
Electric Networks of Armenia (HEC),16494203,2015,12430380,6
Electric Networks of Armenia (HEC),12430380,2014,0,6
Geopromining Gold,16819631,2018,13457039,5
Geopromining Gold,13457039,2017,9377008,6
Geopromining Gold,9377008,2016,0,13
MTS Armenia,8816807,2018,9119679,13
MTS Armenia,9119679,2017,12813283,13
MTS Armenia,12813283,2016,18628800,8
MTS Armenia,18628800,2015,28891812,3
MTS Armenia,28891812,2014,0,2
Yerevan Brandy Company (ArArAt),7639174,2018,0,17
Yerevan Brandy Company (ArArAt),4929696,2015,7030072,18
Yerevan Brandy Company (ArArAt),7030072,2014,0,12
Flash,12248990,2018,12459178,10
Flash,12459178,2017,10906732,8
Flash,10906732,2016,12751028,10
Flash,12751028,2015,11980841,9
Flash,11980841,2014,0,7
Alex Grig,14864747,2016,18255286,5
Alex Grig,18255286,2015,21571523,4
Alex Grig,21571523,2014,0,3
Yerevan JEK,5170553,2015,0,17
Grand Tobacco,42222227,2018,34751754,1
Grand Tobacco,34751754,2017,22571091,2
Grand Tobacco,22571091,2016,13699722,2
Grand Tobacco,13699722,2015,10465005,8
Grand Tobacco,10465005,2014,0,8
Grand Candy,5001595,2016,0,20
Barsis,4775523,2014,0,19
Veon Armenia (ArmenTel),8745919,2017,12429507,14
Veon Armenia (ArmenTel),12429507,2016,15466983,9
Veon Armenia (ArmenTel),15466983,2015,16490980,7
Veon Armenia (ArmenTel),16490980,2014,0,5
Ameria Bank,5440879,2015,0,15
Armavia Airline Company,7176511,2014,0,11
Armenia Int Airports (Zvartnots),7560651,2018,0,18
Armenia Int Airports (Zvartnots),9101708,2016,4747671,17
Armenia Int Airports (Zvartnots),4747671,2015,0,19
CPS Oil Corp,18403623,2018,12597720,4
CPS Oil Corp,12597720,2017,13790645,7
CPS Oil Corp,13790645,2016,9465203,6
CPS Oil Corp,9465203,2015,9618764,10
CPS Oil Corp,9618764,2014,0,9
JTI Armenia,13978758,2018,11995501,7
JTI Armenia,11995501,2017,9318517,9
JTI Armenia,9318517,2016,7804566,14
JTI Armenia,7804566,2015,0,12
Teghut,11578338,2017,13357405,11
Teghut,13357405,2016,0,7
Gazprom Armenia / TransGas,5125182,2016,5319375,18
Gazprom Armenia / TransGas,5319375,2015,5027224,16
Gazprom Armenia / TransGas,5027224,2014,0,17
Onira Club (Pharaon complex),4737937,2015,4768878,20
Onira Club (Pharaon complex),4768878,2014,0,20
Grand Master,6165887,2018,0,20
International Masis Tabak,13133031,2018,11388040,9
International Masis Tabak,11388040,2017,9435284,12
International Masis Tabak,9435284,2016,7238854,12
International Masis Tabak,7238854,2015,5892233,14
International Masis Tabak,5892233,2014,0,15
Metsamor Nuclear Power Plant,10111251,2018,8409053,12
Metsamor Nuclear Power Plant,8409053,2017,10898283,15
Metsamor Nuclear Power Plant,10898283,2016,8307784,11
Metsamor Nuclear Power Plant,8307784,2015,6013227,11
Metsamor Nuclear Power Plant,6013227,2014,0,14
Vorotan Hydropower Cascade,15526369,2016,16955672,4
Vorotan Hydropower Cascade,16955672,2015,0,5
Zangezur Copper Molybdenum Combine,41047831,2018,18670324,2
Zangezur Copper Molybdenum Combine,18670324,2017,9121579,5
Zangezur Copper Molybdenum Combine,9121579,2016,27505902,16
Zangezur Copper Molybdenum Combine,27505902,2015,19940784,2
Zangezur Copper Molybdenum Combine,19940784,2014,0,4
Kapan Mining Processing Enterprise / Dundee Kapan,7886952,2018,6472081,14
Kapan Mining Processing Enterprise / Dundee Kapan,6472081,2017,0,18
Kapan Mining Processing Enterprise / Dundee Kapan,5215111,2014,0,16
